solution_id,service_level,service_level_pct,reward,total_cost,high_service,excellent_service,perfect_service,trajectory_length
95,1.0,100.0,100.0,711051.7027071596,true,true,true,62
96,1.0,100.0,100.0,764792.5487371506,true,true,true,76
97,0.9608365019011407,96.08365019011407,100.0,697083.6725365289,true,false,false,73
98,1.0,100.0,100.0,739484.0585985603,true,true,true,70
99,1.0,100.0,100.0,715354.6063031758,true,true,true,64
100,1.0,100.0,100.0,679545.8280705045,true,true,true,82
101,0.9338403041825095,93.38403041825096,20.0,527739.3456947736,false,false,false,66
102,1.0,100.0,100.0,691469.517334523,true,true,true,70
103,0.33422053231939164,33.42205323193917,0.01,515187.50758135587,false,false,false,30
104,0.8304182509505703,83.04182509505704,0.01,559178.2100838795,false,false,false,53
105,1.0,100.0,100.0,765797.2645709981,true,true,true,93
106,1.0,100.0,100.0,758517.8063595475,true,true,true,88
107,1.0,100.0,100.0,682599.9181211048,true,true,true,87
108,0.37110266159695815,37.11026615969581,0.01,1.143962425323647e6,false,false,false,90
109,1.0,100.0,100.0,764923.9780903386,true,true,true,80
110,0.8342205323193916,83.42205323193916,0.01,720283.8796052288,false,false,false,59
111,0.022813688212927757,2.2813688212927756,0.01,375494.2812547385,false,false,false,12
112,0.07604562737642585,7.604562737642586,0.01,440618.04008650593,false,false,false,12
113,0.0076045627376425855,0.7604562737642585,0.01,204266.6070453385,false,false,false,8
114,1.0,100.0,100.0,725998.3696879944,true,true,true,73
115,1.0,100.0,100.0,731808.3368103642,true,true,true,73
116,0.40638783269961976,40.638783269961976,0.01,570095.9744312691,false,false,false,33
117,0.3647148288973384,36.47148288973384,0.01,533392.2571088134,false,false,false,39
